author_name,rating,content
Budzior Sf,1,"Guw..niana aplikacja aktywacja konta trwa 4 dni dalej go nie aktywowali, gram zmuszony w demo gdzie co chwilę wyskakuje komunikat sprawdz status... gdzie nic nie mozna zrobic masakra na starcie niekompetencja poraża co dopiero będzie jak prawdziwy hajs zainwestujesz ?? Z taką aktywacja to ty darmowych akcji nikt nie dostał..."
Adrian Kozioł,2,Aplikacja ma sporo błędów które nie są naprawiane.
I like dogs,5,"brak prowizji dla małych obrotów, łatwa obsługa możliwość depozytu blikiem"
Grzegorz S,5,ok
Rodo Rodo,1,Iczujsie jakbyś stracił pieniądze
Lukas Schwarz,1,"Nie ma dnia zeby się cały system nie zawieszał i brak możliwości wykonania jakichkolwiek ruchow. Ani zamknac pozycji, ani otworzyć nowych, nic kompletnie. Na wysyłane wiadomości do opiekunów rachunku, dzwonią mili Panowie, ze mozna reklamacje złożyć. Wykonane i mimo ewidentnych dowodow, nagran, screenshotow, i widocznego pełnego sygnału, stabilnego połączenia internetowego, dzial reklamacji odrzuca reklamacje ""bo po ich stronie nie było żadnych problemów"" ;))) zobaczymy co Sąd zadecyduje zatem."
Jj Simpsson,1,"Poki co nie moge sie zalogowac w apce, w pokoju inwestora przez przeglądarkę nie ma tego problemu."
Paweł Cichowski,4,"ogólnie Spoko, w paru miejscach mógłby być przyjaźniejszy interfejs, ale ogólnie jestem zadowolony. eToro lepsze, ale też ma swoje wady i zalety (nie wspominam o CopyTradingu, bo to czyste złoto)"
Adrian Trela,3,Wydupca na danych
Martin Bryś,1,"Najgorsza prowizja jaką mogli dać chce zrobić przelew na konto bankowe, chce przelać 80zł to 50zł mi zabierają bo mają taką prowizję czyli z nie zarobionych pieniędzy tracę aż 50zł chore"
Krystian Z.,1,"Po próbie zarejestrowania się dostałem odmowę zawarcia umowy (nie było mowy o żadnej umowie przed rejestracją). Nie podali żadnego powodu z jakiego nie mogę się zarejestrować. Podałem prawdziwe informacje i bez żadnej przyczyny nie pozwolili się zarejestrować. Aplikacji nie polecam ani trochę, chociażby z powodu braku jakichkolwiek informacji o umowie od początku próby zarejestrejstrowania się. Komunikat, który mówi że nie możesz korzystać z ich usług maklerskich świadczy o ukrytych kosztach."
Ted Mos,2,"Aplikacja intuicyjna, przelicza wszystkie wartości na bieżąco, fajna grafika, duża możliwość konfiguracji, a co najważniejsze profesjonalnie i szybko czyści konto😭"
016barnold,5,polecam serdecznie
Sebastian Tarka,3,"Aplikacja bardzo fajna ale występują problemy z działaniem kiedy pojawia się duża zmienność na instrumencie, problemy polegają na długim wczytywaniu wykresów czy edycji zlecenia w takich chwilach. Aplikacja webowa nie ma takich problemów. Mały updated bardzo denerwujące jest zawieszanie aplikacji i błędne wskazania portfela i zysku, czasem trzeba czekać chwilę żeby wszystko było aktualne, konkurencja lepiej ma to rozwiązane"
Grzegorz M,1,Aplikacja samoczynnie zamyka pozycje celem ograniczenia utraty środków. Mi osobiście się to nie podoba. Stop loss mogę sobie sam ustawić. Może jeszcze zamykajcie pozycje jak jest za duży zysk?
Przemek,5,Zmieniłem opinię gdyż ostatnio poprawili się w każdym aspekcie.
MortalKR,4,Jest w porządku
Jas Gas,3,Wszystko ok do czasu kiedy wpalcisz pieniadze i bedziesz ja prubowal wypłacić. Wpłacają 10£ nie wykonasz zadnej transakcji. Proba wyplacenia tych 10£ kosztuje cie 22£ /12£ prowizja. Smiech na sali za brak jakiej kolwiek mozliwosci wykonania zlecenia za wprowadzanie w blad o braku limitu do wpłacenia depozytu. Pamiętaj jak wpłacisz zbyt mala sumę nie odzyskasz juz tych pieniędzy. Złodzieje mam nadzieje ze zbankrutują jak najszybciej tego wam życzę.
Marcin Rabus,5,Oki
Grzegorz Mitek,1,Stale się zacina
Kubuś Puchatek,3,Spora zanizona różnica cenowa w transakcji w porównaniu np. z Capital
maluda 25,1,Absolutli ziroł
Piotr Szyszka,5,Wydaje się być uczciwa firma w porównaniu do B****ce.Dadzą zarobić ale trzeba być aktywnym i jednocześnie cierpliwym
Jerzy Fijałkowski,1,"The worst broker in general, people move your assets to Interactive Brokers, Degiro or Saxo Bank! They don't pay stock dividends and don't allow you to set the price at which you want to sell shares."
Damian Fiałkowski,4,Ciesz sie tym co dobre
Jacek SZYMANSKY,5,Jest To Dobra I Przydatna Aplikcja
Sławek Parasiak,5,Przejrzysta i prosta w obsłudze apka. Wielki plus za demo mod do nauki
Krzysztof G,1,Absolutli ziroł
Super Salamander,2,"Aplikacja wygodna z dobrym interfejsem, ale ma ubogie możliwości transakcyjne, a to jest przecież kluczowe. Np. nie da się złożyć zlecenia oczekującego PKC, albo z limitem ceny. Nie da się ustawić jednocześnie TP i SL. Ubogo niestety. Kolejna wada to na siłę wciśnięte zakładki ""Hot"" i ""Nastroje rynku"" których się nie da ani usunąć ani nawet przenieść na koniec listy aby nie przeszkadzały."
Paweł Sz,4,"Dodajcie proszę do wskaźników wolumen skumulowany oraz przyciąganie wskaźnika fibo do wierzchołków świec, bo aktualnie mało precyzyjnie da się to zrobić. Reszta całkiem ok 🤗"
Magdalena Roszkowska,2,Witam. Podano mi ta aplikacje ponieważ chciałam połączyć się z wifi. Dlatego mam pytanie czy naprawdę aplikacja pomaga w łączeniu darmowym wifi? I czy jest to płatna aplikacja.? Bardzo proszę o odpowiedź.
Jarosław Kowalczyk,4,"Brakuje jeszcze tzw: indicator buy or sell, jak w innych aplikacjach. Czasami się zawiesza na chwilę. Wykresy zmiana interwałów z H1 na M5 etc i vc w drugą stronę, zwłaszcza podczas odczytów danych."
Maciej Gudel,5,Interesting and helpful platform
Kamil Kandzia,1,Nie radzę posiadać instrumentów w czasie newralgicznych momentów na rynku (odczyt inflacji). Aplikacja nie działa poprawnie przez ponad 10 min i nie można dokonywać żadnych transakcji.
Sebastian Wójcik,4,"Aplikacja ok. Jedna uwaga. Kiedy klikne na ikone szukaj, powinno sie automatycznie focusowac na polu."
ADI Korba,5,Super aplikacja
Krzysztof Malinowski,5,Witam. Czy można wprowadzić alarm dźwiękowy gdy alarm zostanie osiągnięty a nie tylko monit? Podobnie przy informacji o przekroczeniu margin call🙂 Pozdrawiam. Krzysztof Malinowski
Piotr Książak,5,"Wygodne narzędzie na telefon, błędów nie za obserwowałem."
Krzysztof,5,Wszystko dziala.
Joanna,3,"W aplikacji nie można uruchomić opcji wpłać wypłać Depozyt. Myśli i myśli z na koniec wyskakuje błąd "" strona internetowa jest niedostępna"", aktualizacja zrobiona 14 listopada."
Wojciech Strzałka Strzałka,5,"Najlepsza nr1. XTB, polecam warto!!!"
Bartosz Marchewicz,5,Bardzo intuicyjna apka.Łatwa w obsłudze. polecam
emylka just,3,"fajna i intuicujna aplikacja, ale brak dwufaktorowej weryfikacji przy logowaniu, znacznie obniża bezpieczeństwa korzystania z niej"
RRTube,1,"Ciągle lagi, pozycje zawierane z opóźnieniem. Na danych brak możliwości otwarcia/zamknięcia pozycji. KNF powinien zająć się tym brokerem"
Michał Klimczak,5,ok
Jacek Samulski,1,Zmieniam ocenę kolejny raz. SKANDAL! Kradzież pieniędzy i tyle! Aplikacja nie nadaje się do użytku właściwie a w okolicach otwarcia rynku w USA i publikacji ważnych danych wasze serwery siadają i nie działa absolutnie nic. W przeglądarce ciut lepiej ale człowiek nie zawsze ma możliwość siedzieć przed kompem a wasz opis zapewnia możliwość zarządzania pozycja w aplikacji. Czego brak!
Andrzej W,1,"niby spoko, ale po dłuższym użytkowaniu zauważyłem takie rzeczy jak; gdy były nagle nieprzewidziane skoki kursów na walutach na moją korzyść cięła mi sie apka i odświeżanie wykresu. W piątek gdy w nocy zamyka się rynek zysk mialem 8zl w sobote juz byl 7.5 a w niedziele wieczorem 6.98 pff, przecież jak ktoś 1000000zl zainwestuje to trochę więcej traci lekkie oszustwo. Ogłoszenie cpi w usa i zaden wykres sie nie laduje masakra."
Marcin Hałabis,5,"Bardzo wygodna, ale według mnie mile widziana by była opcja dodawania notatek do konkretnych pozycji w wersji mobilnej"
blabert13,5,bawię się na koncie demo jest git
michał gąsiewski,5,bardzo wygodna . polecem
Szymon Szeferski,1,Często się zawiesza
M M,5,polecam
disassemble,1,"Ogromne opóźnienia, brak możliwości zamknięcia zlecenia"
Adam Pieklowski,1,"od kilku dni nie można się zalogować, wyskakuje komunikat coś poszło nie tak..."
Marian Klejnowski,5,Jest to dobre i dzienkuje
Maciej Jęsiek,1,aplikacja ma duże lagi w wyświetlaniu sald czy wykresów w porównaniu do innych platform
Wonder Boy,1,Poprawcie w końcu ta aplikację ! Która laguje. !! Tracą ludzie tylko przez to pieniądze !
Ewelina Sz,1,Nie działa
Marcin Rutkowski,1,"Porażka po całości. Widać, że wydali większość kasy na reklamę i na resztę zabrakło."
DIESELboy2772,5,Git
Veni,4,Ciężko przełączać się między kontami. Przycisk do przełączania konta jest w tym samym miejscu co w przypadku realnego konta wpłać depozyt. W rezultacie trzeba wylogować się i zalogować ponownie żeby móc wybrać inne konto (cały czas mowa o kontach przypisanych do tego samego maila; real + demo).
Jakub Faligowski,5,czekam na okazje i jest to dobra możliwość dla młodych ludzi którzy mają aspiracje w życiu
Janusz Michal Kawczynski,5,ok
Robert Gmiąt,5,podoba mi się
Wieslaw Kepczynski,5,polecam
Dawid Ja,5,"Jak na razie jest OK. Po kilku dniach ""inwestowania"" przydzielają konsultanta - OK."
Dav Arm,5,git
Tomek Tomek,1,"Porażka, czekam już 2 tygodnie na aktywacje konta i cisza, brak odpowiedzi na maile."
Turbo Dzik,1,Nie ma polskich akcji ;( a jeszcze 2 miesiace temu wszytako mialem na apce. Na kompie strona wgl nie dziala.
Dariusz Gola,2,"Na początku wow , później tylko gorzej , zawieszanie apki , plus taki że szybko można było zalogować ponownie, opóźnianie transakcji, cena w ryzach kilka minut , dajesz zlecenie i na dzień dobry cena zmienia się o kilka pipsow, gdy jako nowy użytkownik składasz o coś reklamacje to olewka bo taki regulamin ,było czytać,takie podejście do nowych.80% inwestorów i tak traci ale oni muszą podciągnąć to do 100%. // Odp. Reklamacja odrzucona, tak mój błąd jako nowego ,zyski ważniejsze niż repka szkoda"
Przemek Zapart,5,Dobra aplikacja
ExoYakuza,4,"Aplikacja okazjonalnie się zawiesza, nie zawsze odświeża ale bez większych problemów. Dużym atutem jest też świetne biuro obsługi klienta które pomaga dosłownie ze wszystkim"
Paweł Karyś,1,"Wszystko działa bardzo wolno. Transakcje zawierane są kilka sekund po kliknięciu. W godzinach szczytu wczytanie popularnego wykresu jak np. nasdaq to masakra. Internet 600 mb/s. Update: support zalecił odinstalować i zainstalować aplikację od nowa. To oczywiście nie pomogło, ale za to zniknęły mi wszystkie zdefiniowane wskaźniki."
Tomasz B,5,Jedna z lepszych platform inwestycyjnych.
Programowanie CNC,3,"przy zakładaniu zleceń oczekujących nie ma nr transakcji, co utrudnia przy zgłaszaniu reklamacji, co może być wykorzystane na niekorzyść klienta"
andrzej pieper,5,OKMSLO
Irek Michalski,5,"Na razie demo, ale jest ok."
Lucjan Korkosz,5,Wszystko fajnie i funkcjonalnie tylko szkoda że konta demo są tylko na 30 dni 🥴 a później cisną żeby przejść na Real i wpłacać kasę 🤪
Tadeusz Tadeusz,4,"Bardzo przyjazna aplikacja, do kupowania akcji, krypowalut itd.. Trochę widok zakupionych spółek ... mógłbym lepiej widoczny... Firma XTB jest notowana na giełdzie, czyli muszą spełniać jakieś warunki, to nie giełda krzak... Pamiętaj gdzie lokujesz swoje pieniądze (wiarygodność źródła)."
Siwiutki76,5,Jeszcze nie uruchomiłem ale chyba jest ok 👌
